author,content,region,language,publish_date,harvested_date,article_url
10_GOP,"""We have a sitting Democrat US Senator on trial for corruption and you've barely heard a peep from the mainstream media."" ~ @nedryun https://t.co/gh6g0D1oiC",Unknown,English,10/1/2017 19:58,10/1/2017 19:59,http://twitter.com/905874659358453760/statuses/914580356430536707
10_GOP,Marshawn Lynch arrives to game in anti-Trump shirt. Judging by his sagging pants the shirt should say Lynch vs. belt https://t.co/mLH1i30LZZ,Unknown,English,10/1/2017 22:43,10/1/2017 22:43,http://twitter.com/905874659358453760/statuses/914621840496189440
10_GOP,"Daughter of fallen Navy Sailor delivers powerful monologue on anthem protests, burns her NFL packers gear.  #BoycottNFL https://t.co/qDlFBGMeag",Unknown,English,10/1/2017 22:50,10/1/2017 22:51,http://twitter.com/905874659358453760/statuses/914623490375979008
10_GOP,"JUST IN: President Trump dedicates Presidents Cup golf tournament trophy to the people of Florida, Texas and Puerto Rico. https://t.co/z9wVa4djAE",Unknown,English,10/1/2017 23:52,10/1/2017 23:52,http://twitter.com/905874659358453760/statuses/914639143690555392
10_GOP,"19,000 RESPECTING our National Anthem! #StandForOurAnthem🇺🇸 https://t.co/czutyGaMQV",Unknown,English,10/1/2017 2:13,10/1/2017 2:13,http://twitter.com/905874659358453760/statuses/914312219952861184
10_GOP,"Dan Bongino: ""Nobody trolls liberals better than Donald Trump."" Exactly!  https://t.co/AigV93aC8J",Unknown,English,10/1/2017 2:47,10/1/2017 2:47,http://twitter.com/905874659358453760/statuses/914320835325853696
10_GOP,🐝🐝🐝 https://t.co/MorL3AQW0z,Unknown,English,10/1/2017 2:48,10/1/2017 2:48,http://twitter.com/905874659358453760/statuses/914321156466933760
10_GOP,'@SenatorMenendez @CarmenYulinCruz Doesn't matter that CNN doesn't report on your crimes. This won't change the fact that you're going down.',Unknown,English,10/1/2017 2:52,10/1/2017 2:53,http://twitter.com/905874659358453760/statuses/914322215537119234
10_GOP,"As much as I hate promoting CNN article, here they are admitting EVERYTHING Trump said about PR relief two days ago. https://t.co/tZmSeA48oh",Unknown,English,10/1/2017 3:47,10/1/2017 3:47,http://twitter.com/905874659358453760/statuses/914335818503933957
10_GOP,After the 'genocide' remark from San Juan Mayor the narrative has changed though. @CNN fixes it's reporting constantly.,Unknown,English,10/1/2017 3:51,10/1/2017 3:51,http://twitter.com/905874659358453760/statuses/914336862730375170
10_GOP,After the 'genocide' remark from San Juan Mayor the narrative has changed though. @CNN fixes its reporting constantly.,Unknown,English,10/1/2017 3:58,10/1/2017 3:58,http://twitter.com/905874659358453760/statuses/914338590313902080
10_GOP,'@thehill Why won't she apologize to us for lying?',Unknown,English,10/1/2017 4:11,10/1/2017 4:12,http://twitter.com/905874659358453760/statuses/914342060437753857
10_GOP,"Sarah Sanders destroys NBC reporter: ""Trump made a joke, maybe you guys should get a sense of humor."" https://t.co/IceJ8acE3G",Unknown,English,10/10/2017 20:57,10/10/2017 20:57,http://twitter.com/905874659358453760/statuses/917856606729236480
10_GOP,"Hi @MichelleObama, remember when you said Weinstein is a ""wonderful human being, a good friend and just a powerhouse.""  Do you disavow? https://t.co/pxNaJhhhRc",Unknown,English,10/10/2017 21:59,10/10/2017 21:59,http://twitter.com/905874659358453760/statuses/917872218067161090
10_GOP,"Hi @MichelleObama, remember when you praised Harvey Weinstein as 'a wonderful human being, a good friend and a powerhouse.""  Do you disavow? https://t.co/sRc1TK78AW",Unknown,English,10/10/2017 22:06,10/10/2017 22:06,http://twitter.com/905874659358453760/statuses/917873988952645632
10_GOP,"Wow! Even CNN is slamming the Obamas for silence on Weinstein: ""Where is Michelle Obama? Where is President Obama?"" https://t.co/UxIhO8GDOJ",Unknown,English,10/10/2017 22:17,10/10/2017 22:17,http://twitter.com/905874659358453760/statuses/917876811954098176
10_GOP,"First lady Melania Trump visits infant opioid treatment center in Huntington, West Virginia.  We love your grace and style @FLOTUS! ❤️❤️ https://t.co/hLAKPSOro6",Unknown,English,10/10/2017 23:42,10/10/2017 23:42,http://twitter.com/905874659358453760/statuses/917898105365909504
10_GOP,BREAKING: The audio of sexual predator Harvey Weinstein admitting to assaulting model Ambra Gutierrez has leaked.   I am truly disgusted. https://t.co/ka1nhd0ReR,Unknown,English,10/11/2017 0:49,10/11/2017 0:49,http://twitter.com/905874659358453760/statuses/917915118633144321
10_GOP,'@Breaking911 Build that wall!! 👍',Unknown,English,10/11/2017 19:16,10/11/2017 19:16,http://twitter.com/905874659358453760/statuses/918193488503689216
10_GOP,"""It took Hillary abt 5 minutes to blame NRA for madman's rampage, but 5 days to sorta-kinda blame Harvey Weinstein 4 his sexually assaults."" https://t.co/uzZ5obFGiO",Unknown,English,10/11/2017 20:26,10/11/2017 20:27,http://twitter.com/905874659358453760/statuses/918211323179171840
10_GOP,"Because he hates women so much, President Trump just nominated another woman, Kirstjen Nielsen, to be in his Cabinet.",Unknown,English,10/11/2017 22:14,10/11/2017 22:14,http://twitter.com/905874659358453760/statuses/918238476369309696
10_GOP,"Congrats to Kirstjen Nielsen, our next Secretary of Homeland Security! Well deserved. https://t.co/UITBXQdUVx",Unknown,English,10/11/2017 22:17,10/11/2017 22:17,http://twitter.com/905874659358453760/statuses/918239227942461442
